invoice_number,invoice_date,payment_due_date,invoice_type_code,payment_means_type_code,transaction_type,currency_code,tax_category_code,seller_name,seller_trn,seller_address,seller_city,seller_subdivision,seller_country_code,seller_legal_registration,seller_registration_identifier_type,buyer_name,buyer_trn,buyer_address,buyer_city,buyer_subdivision,buyer_country_code,buyer_legal_registration,buyer_registration_identifier_type,line_id,item_name,unit_of_measure,quantity,unit_price,line_net_amount,tax_category,tax_rate,tax_amount,total_without_tax,total_with_tax,amount_due
INV-2026-B-001,2026-04-05,2026-04-22,380,42,B2B,AED,S,Adamas Tech Consulting LLC,100200300400500,Dubai Internet City,Dubai,DU,AE,DED-100200,DED,Enterprise Client 1,100121843059,"Suite 1, Business Center",Dubai,DU,AE,L-500001,DED,1,Enterprise ERP License,EA,8,1200.0,9600.0,S,0.05,480.0,9600.0,10080.0,10080.0
INV-2026-B-002,2026-04-02,2026-04-26,380,42,B2C,AED,E,Adamas Tech Consulting LLC,100200300400500,Dubai Internet City,Dubai,DU,AE,DED-100200,DED,Retail Customer 2,,"Suite 2, Business Center",Ajman,AJ,AE,,,1,Network Infrastructure Gear,EA,7,500.0,3500.0,E,0.0,0.0,3500.0,3500.0,3500.0
INV-2026-B-003,2026-04-05,2026-04-17,380,10,B2C,AED,E,Adamas Tech Consulting LLC,100200300400500,Dubai Internet City,Dubai,DU,AE,DED-100200,DED,Retail Customer 3,,"Suite 3, Business Center",Ajman,AJ,AE,,,1,Data Analytics Workshop,EA,3,100.0,300.0,E,0.0,0.0,300.0,300.0,300.0
INV-2026-B-004,2026-04-03,2026-04-30,380,10,B2C,AED,Z,Adamas Tech Consulting LLC,100200300400500,Dubai Internet City,Dubai,DU,AE,DED-100200,DED,Retail Customer 4,,"Suite 4, Business Center",Dubai,DU,AE,,,1,Compliance Audit Fees,EA,10,1200.0,12000.0,Z,0.0,0.0,12000.0,12000.0,12000.0
INV-2026-B-005,2026-04-06,2026-04-28,380,42,B2C,AED,E,Adamas Tech Consulting LLC,100200300400500,Dubai Internet City,Dubai,DU,AE,DED-100200,DED,Retail Customer 5,,"Suite 5, Business Center",Dubai,DU,AE,,,1,Compliance Audit Fees,EA,7,100.0,700.0,E,0.0,0.0,700.0,700.0,700.0
INV-2026-B-006,2026-04-05,2026-04-27,380,30,B2C,AED,Z,Adamas Tech Consulting LLC,100200300400500,Dubai Internet City,Dubai,DU,AE,DED-100200,DED,Retail Customer 6,,"Suite 6, Business Center",Dubai,DU,AE,,,1,Enterprise ERP License,EA,9,100.0,900.0,Z,0.0,0.0,900.0,900.0,900.0
INV-2026-B-007,2026-04-02,2026-04-19,380,42,B2C,AED,S,Adamas Tech Consulting LLC,100200300400500,Dubai Internet City,Dubai,DU,AE,DED-100200,DED,Retail Customer 7,,"Suite 7, Business Center",Dubai,DU,AE,,,1,Network Infrastructure Gear,EA,6,1200.0,7200.0,S,0.05,360.0,7200.0,7560.0,7560.0
INV-2026-B-008,2026-04-05,2026-04-27,380,42,B2C,AED,S,Adamas Tech Consulting LLC,100200300400500,Dubai Internet City,Dubai,DU,AE,DED-100200,DED,Retail Customer 8,,"Suite 8, Business Center",Ras Al Khaimah,RK,AE,,,1,Managed Security Services,EA,8,1200.0,9600.0,S,0.05,480.0,9600.0,10080.0,10080.0
INV-2026-B-009,2026-04-05,2026-04-24,380,10,B2B,AED,Z,Adamas Tech Consulting LLC,100200300400500,Dubai Internet City,Dubai,DU,AE,DED-100200,DED,Enterprise Client 9,100878893909,"Suite 9, Business Center",Fujairah,FU,AE,L-500009,DED,1,Network Infrastructure Gear,EA,1,2500.0,2500.0,Z,0.0,0.0,2500.0,2500.0,2500.0
INV-2026-B-010,2026-04-01,2026-04-27,380,42,B2C,AED,Z,Adamas Tech Consulting LLC,100200300400500,Dubai Internet City,Dubai,DU,AE,DED-100200,DED,Retail Customer 10,,"Suite 10, Business Center",Abu Dhabi,AZ,AE,,,1,Enterprise ERP License,EA,3,500.0,1500.0,Z,0.0,0.0,1500.0,1500.0,1500.0
INV-2026-B-011,2026-04-01,2026-05-01,380,42,B2B,AED,E,Adamas Tech Consulting LLC,100200300400500,Dubai Internet City,Dubai,DU,AE,DED-100200,DED,Enterprise Client 11,100454659525,"Suite 11, Business Center",Ras Al Khaimah,RK,AE,L-500011,DED,1,Strategic Cloud Consulting,EA,5,500.0,2500.0,E,0.0,0.0,2500.0,2500.0,2500.0
INV-2026-B-012,2026-04-01,2026-04-22,380,42,B2B,AED,S,Adamas Tech Consulting LLC,100200300400500,Dubai Internet City,Dubai,DU,AE,DED-100200,DED,Enterprise Client 12,100222586737,"Suite 12, Business Center",Sharjah,SH,AE,L-500012,DED,1,Compliance Audit Fees,EA,8,2500.0,20000.0,S,0.05,1000.0,20000.0,21000.0,21000.0
INV-2026-B-013,2026-04-04,2026-04-30,380,30,B2B,AED,E,Adamas Tech Consulting LLC,100200300400500,Dubai Internet City,Dubai,DU,AE,DED-100200,DED,Enterprise Client 13,100681611336,"Suite 13, Business Center",Fujairah,FU,AE,L-500013,DED,1,Enterprise ERP License,EA,1,500.0,500.0,E,0.0,0.0,500.0,500.0,500.0
INV-2026-B-014,2026-04-01,2026-04-18,380,42,B2C,AED,E,Adamas Tech Consulting LLC,100200300400500,Dubai Internet City,Dubai,DU,AE,DED-100200,DED,Retail Customer 14,,"Suite 14, Business Center",Umm Al Quwain,UQ,AE,,,1,Compliance Audit Fees,EA,9,2500.0,22500.0,E,0.0,0.0,22500.0,22500.0,22500.0
INV-2026-B-015,2026-04-04,2026-04-16,380,30,B2B,AED,S,Adamas Tech Consulting LLC,100200300400500,Dubai Internet City,Dubai,DU,AE,DED-100200,DED,Enterprise Client 15,100405372298,"Suite 15, Business Center",Fujairah,FU,AE,L-500015,DED,1,Data Analytics Workshop,EA,9,500.0,4500.0,S,0.05,225.0,4500.0,4725.0,4725.0
INV-2026-B-016,2026-04-06,2026-04-16,380,10,B2B,AED,Z,Adamas Tech Consulting LLC,100200300400500,Dubai Internet City,Dubai,DU,AE,DED-100200,DED,Enterprise Client 16,100302630630,"Suite 16, Business Center",Fujairah,FU,AE,L-500016,DED,1,Strategic Cloud Consulting,EA,1,1200.0,1200.0,Z,0.0,0.0,1200.0,1200.0,1200.0
INV-2026-B-017,2026-04-01,2026-04-30,380,30,B2B,AED,Z,Adamas Tech Consulting LLC,100200300400500,Dubai Internet City,Dubai,DU,AE,DED-100200,DED,Enterprise Client 17,100779871958,"Suite 17, Business Center",Ajman,AJ,AE,L-500017,DED,1,Strategic Cloud Consulting,EA,5,1200.0,6000.0,Z,0.0,0.0,6000.0,6000.0,6000.0
INV-2026-B-018,2026-04-02,2026-04-18,380,30,B2C,AED,E,Adamas Tech Consulting LLC,100200300400500,Dubai Internet City,Dubai,DU,AE,DED-100200,DED,Retail Customer 18,,"Suite 18, Business Center",Dubai,DU,AE,,,1,Network Infrastructure Gear,EA,1,2500.0,2500.0,E,0.0,0.0,2500.0,2500.0,2500.0
INV-2026-B-019,2026-04-04,2026-04-26,380,42,B2C,AED,S,Adamas Tech Consulting LLC,100200300400500,Dubai Internet City,Dubai,DU,AE,DED-100200,DED,Retail Customer 19,,"Suite 19, Business Center",Fujairah,FU,AE,,,1,Compliance Audit Fees,EA,6,1200.0,7200.0,S,0.05,360.0,7200.0,7560.0,7560.0
INV-2026-B-020,2026-04-01,2026-04-20,380,30,B2B,AED,E,Adamas Tech Consulting LLC,100200300400500,Dubai Internet City,Dubai,DU,AE,DED-100200,DED,Enterprise Client 20,100561127263,"Suite 20, Business Center",Dubai,DU,AE,L-500020,DED,1,Managed Security Services,EA,3,2500.0,7500.0,E,0.0,0.0,7500.0,7500.0,7500.0
INV-2026-B-021,2026-04-05,2026-04-24,380,30,B2B,AED,S,Adamas Tech Consulting LLC,100200300400500,Dubai Internet City,Dubai,DU,AE,DED-100200,DED,Enterprise Client 21,100326921689,"Suite 21, Business Center",Sharjah,SH,AE,L-500021,DED,1,Strategic Cloud Consulting,EA,6,500.0,3000.0,S,0.05,150.0,3000.0,3150.0,3150.0
INV-2026-B-022,2026-04-01,2026-04-16,380,42,B2B,AED,S,Adamas Tech Consulting LLC,100200300400500,Dubai Internet City,Dubai,DU,AE,DED-100200,DED,Enterprise Client 22,100412396192,"Suite 22, Business Center",Sharjah,SH,AE,L-500022,DED,1,Annual Platform Support,EA,3,500.0,1500.0,S,0.05,75.0,1500.0,1575.0,1575.0
INV-2026-B-023,2026-04-04,2026-04-19,380,30,B2B,AED,Z,Adamas Tech Consulting LLC,100200300400500,Dubai Internet City,Dubai,DU,AE,DED-100200,DED,Enterprise Client 23,100515627544,"Suite 23, Business Center",Ras Al Khaimah,RK,AE,L-500023,DED,1,Data Analytics Workshop,EA,8,2500.0,20000.0,Z,0.0,0.0,20000.0,20000.0,20000.0
INV-2026-B-024,2026-04-04,2026-04-26,380,10,B2C,AED,Z,Adamas Tech Consulting LLC,100200300400500,Dubai Internet City,Dubai,DU,AE,DED-100200,DED,Retail Customer 24,,"Suite 24, Business Center",Umm Al Quwain,UQ,AE,,,1,Data Analytics Workshop,EA,8,1200.0,9600.0,Z,0.0,0.0,9600.0,9600.0,9600.0
INV-2026-B-025,2026-04-05,2026-04-28,380,30,B2B,AED,S,Adamas Tech Consulting LLC,100200300400500,Dubai Internet City,Dubai,DU,AE,DED-100200,DED,Enterprise Client 25,100538593129,"Suite 25, Business Center",Abu Dhabi,AZ,AE,L-500025,DED,1,Compliance Audit Fees,EA,7,100.0,700.0,S,0.05,35.0,700.0,735.0,735.0
INV-2026-B-026,2026-04-01,2026-04-21,380,42,B2C,AED,E,Adamas Tech Consulting LLC,100200300400500,Dubai Internet City,Dubai,DU,AE,DED-100200,DED,Retail Customer 26,,"Suite 26, Business Center",Fujairah,FU,AE,,,1,Enterprise ERP License,EA,10,100.0,1000.0,E,0.0,0.0,1000.0,1000.0,1000.0
INV-2026-B-027,2026-04-03,2026-04-28,380,10,B2B,AED,E,Adamas Tech Consulting LLC,100200300400500,Dubai Internet City,Dubai,DU,AE,DED-100200,DED,Enterprise Client 27,100659344685,"Suite 27, Business Center",Ajman,AJ,AE,L-500027,DED,1,Strategic Cloud Consulting,EA,2,100.0,200.0,E,0.0,0.0,200.0,200.0,200.0
INV-2026-B-028,2026-04-04,2026-04-30,380,10,B2B,AED,S,Adamas Tech Consulting LLC,100200300400500,Dubai Internet City,Dubai,DU,AE,DED-100200,DED,Enterprise Client 28,100593538779,"Suite 28, Business Center",Abu Dhabi,AZ,AE,L-500028,DED,1,Network Infrastructure Gear,EA,10,1200.0,12000.0,S,0.05,600.0,12000.0,12600.0,12600.0
INV-2026-B-029,2026-04-05,2026-05-01,380,10,B2C,AED,Z,Adamas Tech Consulting LLC,100200300400500,Dubai Internet City,Dubai,DU,AE,DED-100200,DED,Retail Customer 29,,"Suite 29, Business Center",Abu Dhabi,AZ,AE,,,1,Managed Security Services,EA,3,2500.0,7500.0,Z,0.0,0.0,7500.0,7500.0,7500.0
INV-2026-B-030,2026-04-03,2026-04-23,380,10,B2B,AED,Z,Adamas Tech Consulting LLC,100200300400500,Dubai Internet City,Dubai,DU,AE,DED-100200,DED,Enterprise Client 30,100380610266,"Suite 30, Business Center",Dubai,DU,AE,L-500030,DED,1,Data Analytics Workshop,EA,8,100.0,800.0,Z,0.0,0.0,800.0,800.0,800.0
INV-2026-B-031,2026-04-01,2026-04-28,380,10,B2B,AED,S,Adamas Tech Consulting LLC,100200300400500,Dubai Internet City,Dubai,DU,AE,DED-100200,DED,Enterprise Client 31,100195380100,"Suite 31, Business Center",Ras Al Khaimah,RK,AE,L-500031,DED,1,Network Infrastructure Gear,EA,3,500.0,1500.0,S,0.05,75.0,1500.0,1575.0,1575.0
INV-2026-B-032,2026-04-05,2026-04-22,380,10,B2B,AED,S,Adamas Tech Consulting LLC,100200300400500,Dubai Internet City,Dubai,DU,AE,DED-100200,DED,Enterprise Client 32,100596065010,"Suite 32, Business Center",Dubai,DU,AE,L-500032,DED,1,Data Analytics Workshop,EA,2,1200.0,2400.0,S,0.05,120.0,2400.0,2520.0,2520.0
INV-2026-B-033,2026-04-02,2026-04-23,380,30,B2C,AED,S,Adamas Tech Consulting LLC,100200300400500,Dubai Internet City,Dubai,DU,AE,DED-100200,DED,Retail Customer 33,,"Suite 33, Business Center",Umm Al Quwain,UQ,AE,,,1,Enterprise ERP License,EA,9,1200.0,10800.0,S,0.05,540.0,10800.0,11340.0,11340.0
INV-2026-B-034,2026-04-05,2026-04-19,380,42,B2B,AED,S,Adamas Tech Consulting LLC,100200300400500,Dubai Internet City,Dubai,DU,AE,DED-100200,DED,Enterprise Client 34,100520460083,"Suite 34, Business Center",Ajman,AJ,AE,L-500034,DED,1,Strategic Cloud Consulting,EA,10,100.0,1000.0,S,0.05,50.0,1000.0,1050.0,1050.0
INV-2026-B-035,2026-04-04,2026-04-28,380,30,B2C,AED,Z,Adamas Tech Consulting LLC,100200300400500,Dubai Internet City,Dubai,DU,AE,DED-100200,DED,Retail Customer 35,,"Suite 35, Business Center",Sharjah,SH,AE,,,1,Strategic Cloud Consulting,EA,4,500.0,2000.0,Z,0.0,0.0,2000.0,2000.0,2000.0
INV-2026-B-036,2026-04-03,2026-04-19,380,10,B2B,AED,S,Adamas Tech Consulting LLC,100200300400500,Dubai Internet City,Dubai,DU,AE,DED-100200,DED,Enterprise Client 36,100666640227,"Suite 36, Business Center",Fujairah,FU,AE,L-500036,DED,1,Network Infrastructure Gear,EA,3,2500.0,7500.0,S,0.05,375.0,7500.0,7875.0,7875.0
INV-2026-B-037,2026-04-05,2026-04-17,380,30,B2C,AED,S,Adamas Tech Consulting LLC,100200300400500,Dubai Internet City,Dubai,DU,AE,DED-100200,DED,Retail Customer 37,,"Suite 37, Business Center",Fujairah,FU,AE,,,1,Managed Security Services,EA,10,500.0,5000.0,S,0.05,250.0,5000.0,5250.0,5250.0
INV-2026-B-038,2026-04-05,2026-04-28,380,42,B2B,AED,Z,Adamas Tech Consulting LLC,100200300400500,Dubai Internet City,Dubai,DU,AE,DED-100200,DED,Enterprise Client 38,100157011094,"Suite 38, Business Center",Umm Al Quwain,UQ,AE,L-500038,DED,1,Enterprise ERP License,EA,6,2500.0,15000.0,Z,0.0,0.0,15000.0,15000.0,15000.0
INV-2026-B-039,2026-04-02,2026-04-25,380,42,B2B,AED,Z,Adamas Tech Consulting LLC,100200300400500,Dubai Internet City,Dubai,DU,AE,DED-100200,DED,Enterprise Client 39,100689775773,"Suite 39, Business Center",Fujairah,FU,AE,L-500039,DED,1,Enterprise ERP License,EA,9,100.0,900.0,Z,0.0,0.0,900.0,900.0,900.0
INV-2026-B-040,2026-04-03,2026-04-26,380,42,B2C,AED,Z,Adamas Tech Consulting LLC,100200300400500,Dubai Internet City,Dubai,DU,AE,DED-100200,DED,Retail Customer 40,,"Suite 40, Business Center",Umm Al Quwain,UQ,AE,,,1,Annual Platform Support,EA,10,500.0,5000.0,Z,0.0,0.0,5000.0,5000.0,5000.0
INV-2026-B-041,2026-04-01,2026-04-18,380,30,B2B,AED,S,Adamas Tech Consulting LLC,100200300400500,Dubai Internet City,Dubai,DU,AE,DED-100200,DED,Enterprise Client 41,100392386837,"Suite 41, Business Center",Dubai,DU,AE,L-500041,DED,1,Managed Security Services,EA,10,500.0,5000.0,S,0.05,250.0,5000.0,5250.0,5250.0
INV-2026-B-042,2026-04-05,2026-04-25,380,10,B2C,AED,Z,Adamas Tech Consulting LLC,100200300400500,Dubai Internet City,Dubai,DU,AE,DED-100200,DED,Retail Customer 42,,"Suite 42, Business Center",Sharjah,SH,AE,,,1,Annual Platform Support,EA,4,100.0,400.0,Z,0.0,0.0,400.0,400.0,400.0
INV-2026-B-043,2026-04-01,2026-05-01,380,30,B2C,AED,E,Adamas Tech Consulting LLC,100200300400500,Dubai Internet City,Dubai,DU,AE,DED-100200,DED,Retail Customer 43,,"Suite 43, Business Center",Ajman,AJ,AE,,,1,Compliance Audit Fees,EA,2,2500.0,5000.0,E,0.0,0.0,5000.0,5000.0,5000.0
INV-2026-B-044,2026-04-02,2026-04-30,380,10,B2C,AED,Z,Adamas Tech Consulting LLC,100200300400500,Dubai Internet City,Dubai,DU,AE,DED-100200,DED,Retail Customer 44,,"Suite 44, Business Center",Dubai,DU,AE,,,1,Strategic Cloud Consulting,EA,10,2500.0,25000.0,Z,0.0,0.0,25000.0,25000.0,25000.0
INV-2026-B-045,2026-04-06,2026-04-22,380,42,B2B,AED,S,Adamas Tech Consulting LLC,100200300400500,Dubai Internet City,Dubai,DU,AE,DED-100200,DED,Enterprise Client 45,100657709726,"Suite 45, Business Center",Abu Dhabi,AZ,AE,L-500045,DED,1,Compliance Audit Fees,EA,1,2500.0,2500.0,S,0.05,125.0,2500.0,2625.0,2625.0
INV-2026-B-046,2026-04-05,2026-04-24,380,10,B2C,AED,Z,Adamas Tech Consulting LLC,100200300400500,Dubai Internet City,Dubai,DU,AE,DED-100200,DED,Retail Customer 46,,"Suite 46, Business Center",Abu Dhabi,AZ,AE,,,1,Network Infrastructure Gear,EA,6,500.0,3000.0,Z,0.0,0.0,3000.0,3000.0,3000.0
INV-2026-B-047,2026-04-01,2026-04-26,380,10,B2B,AED,Z,Adamas Tech Consulting LLC,100200300400500,Dubai Internet City,Dubai,DU,AE,DED-100200,DED,Enterprise Client 47,100544339406,"Suite 47, Business Center",Umm Al Quwain,UQ,AE,L-500047,DED,1,Managed Security Services,EA,4,500.0,2000.0,Z,0.0,0.0,2000.0,2000.0,2000.0
INV-2026-B-048,2026-04-05,2026-04-19,380,30,B2C,AED,E,Adamas Tech Consulting LLC,100200300400500,Dubai Internet City,Dubai,DU,AE,DED-100200,DED,Retail Customer 48,,"Suite 48, Business Center",Fujairah,FU,AE,,,1,Compliance Audit Fees,EA,1,2500.0,2500.0,E,0.0,0.0,2500.0,2500.0,2500.0
INV-2026-B-049,2026-04-03,2026-04-28,380,30,B2C,AED,E,Adamas Tech Consulting LLC,100200300400500,Dubai Internet City,Dubai,DU,AE,DED-100200,DED,Retail Customer 49,,"Suite 49, Business Center",Sharjah,SH,AE,,,1,Annual Platform Support,EA,5,500.0,2500.0,E,0.0,0.0,2500.0,2500.0,2500.0
INV-2026-B-050,2026-04-05,2026-04-21,380,42,B2C,AED,S,Adamas Tech Consulting LLC,100200300400500,Dubai Internet City,Dubai,DU,AE,DED-100200,DED,Retail Customer 50,,"Suite 50, Business Center",Sharjah,SH,AE,,,1,Managed Security Services,EA,4,2500.0,10000.0,S,0.05,500.0,10000.0,10500.0,10500.0
INV-2026-B-051,2026-04-03,2026-04-25,380,30,B2B,AED,E,Adamas Tech Consulting LLC,100200300400500,Dubai Internet City,Dubai,DU,AE,DED-100200,DED,Enterprise Client 51,100159283118,"Suite 51, Business Center",Abu Dhabi,AZ,AE,L-500051,DED,1,Compliance Audit Fees,EA,2,2500.0,5000.0,E,0.0,0.0,5000.0,5000.0,5000.0
INV-2026-B-052,2026-04-01,2026-04-18,380,30,B2B,AED,E,Adamas Tech Consulting LLC,100200300400500,Dubai Internet City,Dubai,DU,AE,DED-100200,DED,Enterprise Client 52,100180930586,"Suite 52, Business Center",Ajman,AJ,AE,L-500052,DED,1,Network Infrastructure Gear,EA,1,500.0,500.0,E,0.0,0.0,500.0,500.0,500.0
INV-2026-B-053,2026-04-03,2026-04-30,380,30,B2B,AED,Z,Adamas Tech Consulting LLC,100200300400500,Dubai Internet City,Dubai,DU,AE,DED-100200,DED,Enterprise Client 53,100993391516,"Suite 53, Business Center",Ras Al Khaimah,RK,AE,L-500053,DED,1,Annual Platform Support,EA,10,500.0,5000.0,Z,0.0,0.0,5000.0,5000.0,5000.0
INV-2026-B-054,2026-04-06,2026-05-01,380,42,B2B,AED,Z,Adamas Tech Consulting LLC,100200300400500,Dubai Internet City,Dubai,DU,AE,DED-100200,DED,Enterprise Client 54,100868265817,"Suite 54, Business Center",Umm Al Quwain,UQ,AE,L-500054,DED,1,Enterprise ERP License,EA,9,100.0,900.0,Z,0.0,0.0,900.0,900.0,900.0
INV-2026-B-055,2026-04-06,2026-04-21,380,42,B2B,AED,S,Adamas Tech Consulting LLC,100200300400500,Dubai Internet City,Dubai,DU,AE,DED-100200,DED,Enterprise Client 55,100621183432,"Suite 55, Business Center",Ras Al Khaimah,RK,AE,L-500055,DED,1,Compliance Audit Fees,EA,7,1200.0,8400.0,S,0.05,420.0,8400.0,8820.0,8820.0
INV-2026-B-056,2026-04-01,2026-04-18,380,42,B2C,AED,S,Adamas Tech Consulting LLC,100200300400500,Dubai Internet City,Dubai,DU,AE,DED-100200,DED,Retail Customer 56,,"Suite 56, Business Center",Ras Al Khaimah,RK,AE,,,1,Enterprise ERP License,EA,4,2500.0,10000.0,S,0.05,500.0,10000.0,10500.0,10500.0
INV-2026-B-057,2026-04-06,2026-04-30,380,10,B2B,AED,Z,Adamas Tech Consulting LLC,100200300400500,Dubai Internet City,Dubai,DU,AE,DED-100200,DED,Enterprise Client 57,100178820360,"Suite 57, Business Center",Fujairah,FU,AE,L-500057,DED,1,Strategic Cloud Consulting,EA,1,500.0,500.0,Z,0.0,0.0,500.0,500.0,500.0
INV-2026-B-058,2026-04-02,2026-04-23,380,10,B2B,AED,S,Adamas Tech Consulting LLC,100200300400500,Dubai Internet City,Dubai,DU,AE,DED-100200,DED,Enterprise Client 58,100630987188,"Suite 58, Business Center",Sharjah,SH,AE,L-500058,DED,1,Strategic Cloud Consulting,EA,4,2500.0,10000.0,S,0.05,500.0,10000.0,10500.0,10500.0
INV-2026-B-059,2026-04-04,2026-04-28,380,10,B2B,AED,E,Adamas Tech Consulting LLC,100200300400500,Dubai Internet City,Dubai,DU,AE,DED-100200,DED,Enterprise Client 59,100758055597,"Suite 59, Business Center",Sharjah,SH,AE,L-500059,DED,1,Enterprise ERP License,EA,4,500.0,2000.0,E,0.0,0.0,2000.0,2000.0,2000.0
INV-2026-B-060,2026-04-06,2026-04-27,380,42,B2C,AED,E,Adamas Tech Consulting LLC,100200300400500,Dubai Internet City,Dubai,DU,AE,DED-100200,DED,Retail Customer 60,,"Suite 60, Business Center",Sharjah,SH,AE,,,1,Data Analytics Workshop,EA,1,500.0,500.0,E,0.0,0.0,500.0,500.0,500.0
INV-2026-B-061,2026-04-06,2026-04-23,380,42,B2B,AED,E,Adamas Tech Consulting LLC,100200300400500,Dubai Internet City,Dubai,DU,AE,DED-100200,DED,Enterprise Client 61,100460580763,"Suite 61, Business Center",Abu Dhabi,AZ,AE,L-500061,DED,1,Annual Platform Support,EA,5,2500.0,12500.0,E,0.0,0.0,12500.0,12500.0,12500.0
INV-2026-B-062,2026-04-01,2026-04-18,380,42,B2C,AED,Z,Adamas Tech Consulting LLC,100200300400500,Dubai Internet City,Dubai,DU,AE,DED-100200,DED,Retail Customer 62,,"Suite 62, Business Center",Ajman,AJ,AE,,,1,Annual Platform Support,EA,7,100.0,700.0,Z,0.0,0.0,700.0,700.0,700.0
INV-2026-B-063,2026-04-02,2026-04-26,380,30,B2B,AED,S,Adamas Tech Consulting LLC,100200300400500,Dubai Internet City,Dubai,DU,AE,DED-100200,DED,Enterprise Client 63,100857688070,"Suite 63, Business Center",Abu Dhabi,AZ,AE,L-500063,DED,1,Annual Platform Support,EA,3,100.0,300.0,S,0.05,15.0,300.0,315.0,315.0
INV-2026-B-064,2026-04-01,2026-04-16,380,30,B2C,AED,S,Adamas Tech Consulting LLC,100200300400500,Dubai Internet City,Dubai,DU,AE,DED-100200,DED,Retail Customer 64,,"Suite 64, Business Center",Abu Dhabi,AZ,AE,,,1,Strategic Cloud Consulting,EA,5,100.0,500.0,S,0.05,25.0,500.0,525.0,525.0
INV-2026-B-065,2026-04-03,2026-04-21,380,10,B2B,AED,S,Adamas Tech Consulting LLC,100200300400500,Dubai Internet City,Dubai,DU,AE,DED-100200,DED,Enterprise Client 65,100685240743,"Suite 65, Business Center",Ajman,AJ,AE,L-500065,DED,1,Network Infrastructure Gear,EA,3,1200.0,3600.0,S,0.05,180.0,3600.0,3780.0,3780.0
INV-2026-B-066,2026-04-01,2026-04-28,380,10,B2B,AED,Z,Adamas Tech Consulting LLC,100200300400500,Dubai Internet City,Dubai,DU,AE,DED-100200,DED,Enterprise Client 66,100174977083,"Suite 66, Business Center",Sharjah,SH,AE,L-500066,DED,1,Enterprise ERP License,EA,7,100.0,700.0,Z,0.0,0.0,700.0,700.0,700.0
